Tanggal & Waktu;ID Struk;Status Pembayaran;ID / Kode Outlet;Outlet;Tipe Penjualan;Kasir;No. Hp Pelanggan;Nama Pelanggan;customer_id;SKU;Nama Produk;Kategori;Jumlah Produk;Harga Produk;Penjualan Kotor;Diskon Produk;Subtotal;Diskon Transaksi;Service Charge;Pajak;Pembulatan;Poin Ditukar;Biaya Admin;Total;Metode Pembayaran;Fee;Pembayaran;Alasan Pembatalan;Catatan Transaksi;Catatan Custom Amount;Pawoon Order No.;Grab Food No.;Partner Reff. Number;Partner Trace No & RRN;Issuer Name;Paid By;Kode Voucher
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Mango Tea;Tea;1;18000;18000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Gelato 1 scoop - Sticky Mango Dream;GELATO;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:08;6GBJ3WBK8DJ7V;Success;OT-292798;Diagram cafe;Take Away;Kasir 1;;;C1050;;Catering - Paket Bento I (Chicken Teriyaki, salad, scramble eggg);CATERING;35;28000;980000;0;980000;0;0;0;0;0;0;980000;Transfer;0;980000;;;;;;6GBJ3WBK8DJ7V;;;;
30-04-2025 22:12:16;VPGDCZR8N4GLL;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1161;;Fettuccine Carbonara;Spaghetti;1;30000;30000;0;85000;0;4250;0;0;0;0;89250;ShopeeFood;0;89250;;;;;;VPGDCZR8N4GLL;;;;
30-04-2025 22:12:16;VPGDCZR8N4GLL;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1272;;Ribs Butter Rice;Soup;1;55000;55000;0;;;;;;;;;;;;;;;;;VPGDCZR8N4GLL;;;;
30-04-2025 21:43:05;BMV8HG6KNWJ7K;Success;OT-292798;Diagram cafe;Take Away;Kasir 1;;;C1383;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;20000;3000;850;0;0;0;0;17850;BRI.;0;17850;;;;;;BMV8HG6KNWJ7K;;;;
30-04-2025 21:31:54;ZVLYFR8PVVQJZ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Beef Black pepper;Teriyaki Rice;1;35000;35000;0;55000;0;2750;0;0;0;0;57750;Tunai;0;57750;;;;;;ZVLYFR8PVVQJZ;;;;
30-04-2025 21:31:54;ZVLYFR8PVVQJZ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Coffee Latte - Ice;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;ZVLYFR8PVVQJZ;;;;
30-04-2025 21:18:13;M8GQHGQYLLM9D;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;;C1494;;Americano;Coffee;1;18000;18000;0;38000;0;1900;0;0;0;0;39900;BRI.;0;39900;;;;;;M8GQHGQYLLM9D;;;;
30-04-2025 21:18:13;M8GQHGQYLLM9D;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;;C1605;;Cappuccino;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;M8GQHGQYLLM9D;;;;
30-04-2025 21:16:55;QDLVSLKM99RZW;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1716;;Mie Tek-Tek - Rebus;Fried Rice & Noodle;1;22000;22000;0;41000;0;2050;0;0;0;0;43050;ShopeeFood;0;43050;;;;;;QDLVSLKM99RZW;;;;
30-04-2025 21:16:55;QDLVSLKM99RZW;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1827;;Cireng Diagram;Light Meal;1;19000;19000;0;;;;;;;;;;;;;;;;;QDLVSLKM99RZW;;;;
30-04-2025 21:07:01;4QBY2P4M66GPP;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;;C0070;;Mineral Water;Non Coffee;2;10000;20000;0;20000;0;1000;0;0;0;0;21000;BRI.;0;21000;;;;;;4QBY2P4M66GPP;;;;
30-04-2025 21:06:24;6GBJ3WBK88QYL;Success;OT-292798;Diagram cafe;Go Food;Kasir 1;;;C0181;;Paket Chicken Teriyaki + lychee tea;MENU PAKET;1;45000;45000;0;45000;0;2250;0;0;0;0;47250;GoFood;0;47250;;;;;;6GBJ3WBK88QYL;;;;
30-04-2025 21:02:53;L6K7CLRBPPG4M;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;40000;0;2000;0;0;0;0;42000;Tunai;0;42000;;;;;;L6K7CLRBPPG4M;;;;
30-04-2025 21:02:53;L6K7CLRBPPG4M;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Mochachino - Ice;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPG4M;;;;
30-04-2025 21:01:38;4QBY2P4M66JYQ;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C0292;;Dory with Cheese sauce;Teriyaki Rice;1;30000;30000;0;30000;0;1500;0;0;0;0;31500;ShopeeFood;0;31500;;;;;;4QBY2P4M66JYQ;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Tofu Salt n Pepper Sharing;Light Meal;1;20000;20000;0;303000;0;15150;0;0;0;0;318150;BCA;0;318150;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Mie Multi Disiplin;MEE TIME;1;18000;18000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Chicken Katsu Curry;Curry;2;35000;70000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Lemon Tea;Tea;1;18000;18000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Red velvet;Non Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Tropical mango;Mocktail;1;22000;22000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Apple blossom;Mocktail;1;22000;22000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Beef Black pepper;Teriyaki Rice;1;35000;35000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Kampung Fried Rice - Pedas;Fried Rice & Noodle;1;20000;20000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Gelato 1 scoop - Choco Biscuit;GELATO;1;20000;20000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Gelato 1 scoop - Mascarpone Pistacheese;GELATO;1;20000;20000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:56:58;6GBJ3WBK88DMR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1, MAYA;C1966;;Gelato 1 scoop - Sticky Mango Dream;GELATO;1;20000;20000;0;;;;;;;;;;;;;;;;;6GBJ3WBK88DMR;;;;
30-04-2025 20:37:39;YBMWF8QKNNYND;Success;OT-292798;Diagram cafe;Take Away;Kasir 1;;;C0403;;Mochachino - Ice;Coffee;1;20000;20000;0;20000;0;1000;0;0;0;0;21000;Tunai;0;21000;;;;;;YBMWF8QKNNYND;;;;
30-04-2025 20:36:11;QDLVSLKM99ZV7;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1;C1964;;Chicken Karaage Salad;Salad;1;27000;27000;0;45000;0;2250;0;0;0;0;47250;BCA;0;47250;;;;;;QDLVSLKM99ZV7;;;;
30-04-2025 20:36:11;QDLVSLKM99ZV7;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1;C1964;;Mango Tea;Tea;1;18000;18000;0;;;;;;;;;;;;;;;;;QDLVSLKM99ZV7;;;;
30-04-2025 20:33:27;7B4RFJ7KDD6B7;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Lamb Fried Rice - Sedang;Fried Rice & Noodle;1;25000;25000;0;25000;0;1250;0;0;0;0;26250;BRI.;0;26250;;;;;;7B4RFJ7KDD6B7;;;;
30-04-2025 20:32:15;L6K7CLRBPPV96;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Banana choco chiz;Light Meal;1;27500;27500;0;27500;0;1375;0;0;0;0;28875;BRI.;0;28875;;;;;;L6K7CLRBPPV96;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Dory Sambal Dabu;Teriyaki Rice;1;30000;30000;0;132000;0;6600;0;0;0;0;138600;BRI.;0;138600;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Lychee Tea;Tea;1;20000;20000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Red velvet;Non Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Moroco Mint;Non Coffee;1;22000;22000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Vanilla Regal Diagram;Non Coffee;1;22000;22000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:30:34;L6K7CLRBPPV8G;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Tofu Salt n Pepper Sharing;Light Meal;1;20000;20000;0;;;;;;;;;;;;;;;;;L6K7CLRBPPV8G;;;;
30-04-2025 20:23:17;BMV8HG6KNNR7B;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 1;C1964;;Coffee Latte - Ice;Coffee;1;20000;20000;0;20000;0;1000;0;0;0;0;21000;BRI.;0;21000;;;;;;BMV8HG6KNNR7B;;;;
30-04-2025 20:21:28;L6K7CLRBPP4K4;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Chicken Katsudon;KATSU;1;35000;35000;0;116000;0;5800;0;0;0;0;121800;BRI.;0;121800;;;;;;L6K7CLRBPP4K4;;;;
30-04-2025 20:21:28;L6K7CLRBPP4K4;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Omurice Chicken Curry;KATSU;1;45000;45000;0;;;;;;;;;;;;;;;;;L6K7CLRBPP4K4;;;;
30-04-2025 20:21:28;L6K7CLRBPP4K4;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Lemon Tea;Tea;2;18000;36000;0;;;;;;;;;;;;;;;;;L6K7CLRBPP4K4;;;;
30-04-2025 20:08:03;P7WL2P6Q88JRV;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C0514;;Coffee Latte - Ice;Coffee;1;20000;20000;0;45000;0;2250;0;0;0;0;47250;ShopeeFood;0;47250;;;;;;P7WL2P6Q88JRV;;;;
30-04-2025 20:08:03;P7WL2P6Q88JRV;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C0625;;Oglio Olio - Oglio Olio Beef;Spaghetti;1;25000;25000;0;;;;;;;;;;;;;;;;;P7WL2P6Q88JRV;;;;
30-04-2025 20:07:16;GD6YSZM7NNWZG;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Mango Tea;Tea;1;18000;18000;0;18000;0;900;0;0;0;0;18900;BRI.;0;18900;;;;;;GD6YSZM7NNWZG;;;;
30-04-2025 20:04:55;9Y47FRW4YY49N;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;;C0736;;Mie Desain Grafis;MEE TIME;1;17000;17000;0;27000;0;1350;0;0;0;0;28350;BRI.;0;28350;;;;;;9Y47FRW4YY49N;;;;
30-04-2025 20:04:55;9Y47FRW4YY49N;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;;C0847;;Tea - Ice;Tea;1;10000;10000;0;;;;;;;;;;;;;;;;;9Y47FRW4YY49N;;;;
30-04-2025 19:47:37;6GBJ3WBK887P4;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Banana Latte - Ice;Non Coffee;1;18000;18000;0;18000;0;900;0;0;0;0;18900;BRI.;0;18900;;;;;;6GBJ3WBK887P4;;;;
30-04-2025 19:46:44;GD6YSZM7NNYDL;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Banana Cinnamon French Toast;Light Meal;1;25000;25000;0;25000;0;1250;0;0;0;0;26250;BRI.;0;26250;;;;;;GD6YSZM7NNYDL;;;;
30-04-2025 19:44:37;M8GQHGQYLL8D6;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Mie Manajemen Resiko;MEE TIME;1;18000;18000;0;28000;0;1400;0;0;0;0;29400;BRI.;0;29400;;;;;;M8GQHGQYLL8D6;;;;
30-04-2025 19:44:37;M8GQHGQYLL8D6;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Tea - Ice;Tea;1;10000;10000;0;;;;;;;;;;;;;;;;;M8GQHGQYLL8D6;;;;
30-04-2025 19:41:38;D84KHVJQ77MWK;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Beef Black pepper;Teriyaki Rice;1;35000;35000;0;45000;0;2250;0;0;0;0;47250;BRI.;0;47250;;;;;;D84KHVJQ77MWK;;;;
30-04-2025 19:41:38;D84KHVJQ77MWK;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Tea - Ice;Tea;1;10000;10000;0;;;;;;;;;;;;;;;;;D84KHVJQ77MWK;;;;
30-04-2025 19:40:07;P7WL2P6Q88KW6;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C0958;;Chicken Katsudon;KATSU;1;35000;35000;0;35000;0;1750;0;0;0;0;36750;ShopeeFood;0;36750;;;;;;P7WL2P6Q88KW6;;;;
30-04-2025 19:39:01;NL9GHRLMPPR9R;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;lt2;C1969;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;20000;0;1000;0;0;0;0;21000;Tunai;0;21000;;;;;;NL9GHRLMPPR9R;;;;
30-04-2025 19:37:42;L6K7CLRBPPLM7;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;20000;0;1000;0;0;0;0;21000;Tunai;0;21000;;;;;;L6K7CLRBPPLM7;;;;
30-04-2025 19:37:15;D84KHVJQ77VDR;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1039;;Tofu Salt n Pepper Sharing;Light Meal;1;20000;20000;0;64000;0;3200;0;0;0;0;67200;ShopeeFood;0;67200;;;;;;D84KHVJQ77VDR;;;;
30-04-2025 19:37:15;D84KHVJQ77VDR;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1051;;Cireng Diagram;Light Meal;1;19000;19000;0;;;;;;;;;;;;;;;;;D84KHVJQ77VDR;;;;
30-04-2025 19:37:15;D84KHVJQ77VDR;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1062;;Mushroom Salt and Pepper Sharing;Light Meal;1;25000;25000;0;;;;;;;;;;;;;;;;;D84KHVJQ77VDR;;;;
30-04-2025 19:37:05;P7WL2P6Q88PBQ;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1073;;Chicken Katsudon;KATSU;1;35000;35000;0;60000;0;3000;0;0;0;0;63000;ShopeeFood;0;63000;;;;;;P7WL2P6Q88PBQ;;;;
30-04-2025 19:37:05;P7WL2P6Q88PBQ;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1084;;Mushroom Salt and Pepper Sharing;Light Meal;1;25000;25000;0;;;;;;;;;;;;;;;;;P7WL2P6Q88PBQ;;;;
30-04-2025 19:36:48;4QBY2P4M66PR8;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1095;;Rice Chicken Katsu Mentai;Curry;1;30000;30000;0;48000;0;2400;0;0;0;0;50400;ShopeeFood;0;50400;;;;;;4QBY2P4M66PR8;;;;
30-04-2025 19:36:48;4QBY2P4M66PR8;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C1106;;Americano;Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;4QBY2P4M66PR8;;;;
30-04-2025 19:16:15;4QBY2P4M6NQ8G;Success;OT-292798;Diagram cafe;Take Away;Kasir 1;;;C1117;;Corn Ribs - Salty Nori Fire;Light Meal;1;18000;18000;0;18000;0;900;0;0;0;0;18900;Tunai;0;18900;;;;;;4QBY2P4M6NQ8G;;;;
30-04-2025 19:15:18;6GBJ3WBK8ZRKR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;59000;0;2950;0;0;0;0;61950;BRI.;0;61950;;;;;;6GBJ3WBK8ZRKR;;;;
30-04-2025 19:15:18;6GBJ3WBK8ZRKR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Tofu Salt n Pepper Sharing;Light Meal;1;20000;20000;0;;;;;;;;;;;;;;;;;6GBJ3WBK8ZRKR;;;;
30-04-2025 19:15:18;6GBJ3WBK8ZRKR;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Cireng Diagram;Light Meal;1;19000;19000;0;;;;;;;;;;;;;;;;;6GBJ3WBK8ZRKR;;;;
30-04-2025 19:12:58;M8GQHGQYLB644;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;SOFA LT 1;C2059;;Blackcurrant Tea;Non Coffee;2;18000;36000;0;71000;0;3550;0;0;0;0;74550;BRI.;0;74550;;;;;;M8GQHGQYLB644;;;;
30-04-2025 19:12:58;M8GQHGQYLB644;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;SOFA LT 1;C2059;;Gelato 2 scoops - Integrity Berry & cheese - Mascarpone Pistacheese;GELATO;1;35000;35000;0;;;;;;;;;;;;;;;;;M8GQHGQYLB644;;;;
30-04-2025 19:11:07;YBMWF8QKNZL6Q;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;SOFA LT 1;C2059;;Tofu Salt n Pepper Personal;Light Meal;1;14000;14000;0;24000;0;1200;0;0;0;0;25200;BRI.;0;25200;;;;;;YBMWF8QKNZL6Q;;;;
30-04-2025 19:11:07;YBMWF8QKNZL6Q;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;SOFA LT 1;C2059;;Mineral Water;Non Coffee;1;10000;10000;0;;;;;;;;;;;;;;;;;YBMWF8QKNZL6Q;;;;
30-04-2025 19:03:41;WP9KCM6RVJGJM;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;LT 2;C1969;;Creamy cherry;Non Coffee;1;20000;20000;0;38000;0;1900;0;0;0;0;39900;BRI.;0;39900;;;;;;WP9KCM6RVJGJM;;;;
